"concept_code","display_name","review_applicability","product_form_basis","market_class","market_basis","proposed_availability","availability_note","evidence_requirement","evidence_search_terms","review_flags"
"ALMOND_BUTTER","Mandelmus","APPLICABLE","Fein vermahlene Mandelpaste, ungesüßt oder leicht gesüßt; nicht Marzipan oder bloßes Mandelaroma.","GENERAL_BROAD","Katalogpfad Mandeln → Nuss- oder Samenpaste → Nüsse → Sauce, Würzmittel oder Paste. Warengruppe Nuss- oder Saatenpaste, formrelevanter Prüfhinweis aus der vollständigen Definition: »nicht Marzipan oder bloßes Mandelaroma«. Allgemein planbarer, aber nicht lokal garantierter Weg über einen vorbereiteten Einkauf im gut sortierten Bereich »Aufstrich-, Nussmus- oder Feinkostregal«.","PLANNED","Georgias Bezug von Mandelmus führt über „Aufstrich-, Nussmus- oder Feinkostregal nach digitaler Bestandsprüfung“. Fein vermahlene Mandelpaste, ungesüßt oder leicht gesüßt; nicht Marzipan oder bloßes Mandelaroma.","OPTIONAL","Mandelmus | Form: nicht Marzipan oder bloßes Mandelaroma | Bornheim gezielter Einkauf Deutschland Aufstrich-, Nussmus- oder Feinkostregal",""
"ALMOND_DRINK","Mandeldrink","APPLICABLE","Flüssiger Pflanzendrink auf Mandelbasis; gesüßte und ungesüßte Varianten sind umfasst.","GENERAL_LOCAL","Katalogpfad pflanzlicher Drink. Warengruppe Pflanzendrink, formrelevanter Prüfhinweis aus der vollständigen Definition: »gesüßte und ungesüßte Varianten sind umfasst«. Regelweg in Bornheim über nahe Supermarktfilialen in Bornheim mit dem Bereich »Regal für haltbare oder gekühlte Pflanzendrinks«.","EASY","Mandeldrink: Die Form »gesüßte und ungesüßte Varianten sind umfasst« gehört in den normalen lokalen Einkauf — Für dieses Merkmal erfolgt der Zugriff über nahe Supermarktfilialen in Bornheim mit dem Bereich »Regal für haltbare oder gekühlte Pflanzendrinks« ohne fernere Zusatzroute.","OPTIONAL","Mandeldrink | Form: gesüßte und ungesüßte Varianten sind umfasst | Bornheim Regal für haltbare oder gekühlte Pflanzendrinks gewöhnlicher Handel",""
"AMARANTH","Amaranth","APPLICABLE","Kleine glutenfreie Pseudogetreidekörner mit leicht nussigem Geschmack; ganz gekocht oder gepufft verwendbar.","GENERAL_BROAD","Katalogpfad Getreide oder Pseudogetreide → stärkehaltige Zutat oder Sättigungsbeilage. Warengruppe Getreide- oder Stärkeware, formrelevanter Prüfhinweis aus der vollständigen Definition: »ganz gekocht oder gepufft verwendbar«. Allgemein planbarer, aber nicht lokal garantierter Weg über eine gezielte Filial- oder Bestellprüfung für Getreide- oder Stärkeware im allgemeinen deutschen Handel.","PLANNED","Bei Amaranth beginnt der Bornheimer Einkauf mit „Reis-, Mehl-, Nudel- oder Trockenwarenregal per Filialbestellung“. Kleine glutenfreie Pseudogetreidekörner mit leicht nussigem Geschmack; ganz gekocht oder gepufft verwendbar.","OPTIONAL","Amaranth | Form: ganz gekocht oder gepufft verwendbar | Bornheim gezielter Einkauf Deutschland Reis-, Mehl-, Nudel- oder Trockenwarenregal",""
"ANCHO_CHILI","Ancho-Chili","APPLICABLE","Getrocknete reife Poblano-Chili mit milder Schärfe und fruchtig-rosinigem Aroma; nicht die frische grüne Poblano.","SPECIALTY_BROAD","Katalogpfad getrocknete Chili → Gewürz oder trockenes Würzmittel. Warengruppe Gewürz, formrelevanter Prüfhinweis aus der vollständigen Definition: »nicht die frische grüne Poblano«. Breiter einschlägiger Spezialmarkt über die voneinander unabhängigen Händler MTG Gewürze – Ancho Chili sowie Hola Mexico – mexikanischer Fachhandel.","SPECIALTY","Ancho-Chili: Die Spezialmarktbreite entsteht durch die voneinander unabhängigen Händler MTG Gewürze – Ancho Chili sowie Hola Mexico – mexikanischer Fachhandel — Damit bleibt »nicht die frische grüne Poblano« keine Einzelhändler- oder Zufallsroute.","REQUIRED","Ancho-Chili | Form: nicht die frische grüne Poblano | Deutschland unabhängige Spezialhändler Gewürz | geprüfte Quellen: MTG Gewürze – Ancho Chili ; Hola Mexico – mexikanischer Fachhandel","EVIDENCE_REQUIRED"
"ANCHOVIES","Sardellen","APPLICABLE","Kleine fettreiche Fische, als Kochzutat meist gesalzen und in Öl oder Lake konserviert; lösen sich beim Garen oft würzend auf.","GENERAL_LOCAL","Katalogpfad fettreicher Fisch → Fisch → Fisch und Meeresfrüchte. Warengruppe konservierter Fisch, formrelevanter Prüfhinweis aus der vollständigen Definition: »lösen sich beim Garen oft würzend auf«. Regelweg in Bornheim über den Bereich »Fischkonserven- oder internationales Trockenwarenregal« eines gewöhnlichen Bornheimer Vollsortimenters.","EASY","In Bornheim sucht Georgia Sardellen über „Fischkonserven- oder internationales Trockenwarenregal“. Kleine fettreiche Fische, als Kochzutat meist gesalzen und in Öl oder Lake konserviert; lösen sich beim Garen oft würzend auf.","OPTIONAL","Sardellen | Form: lösen sich beim Garen oft würzend auf | Bornheim Fischkonserven- oder internationales Trockenwarenregal gewöhnlicher Handel","RATING_RECONCILED_V2"
"ANNATTO","Annatto","APPLICABLE","Samen des Achiote-Strauchs, die Speisen orange-rot färben und mild erdig-pfeffrig würzen; ganz oder gemahlen verwendbar.","SPECIALTY_BROAD","Katalogpfad Gewürz oder trockenes Würzmittel. Warengruppe Gewürz, formrelevanter Prüfhinweis aus der vollständigen Definition: »ganz oder gemahlen verwendbar«. Breiter einschlägiger Spezialmarkt über die voneinander unabhängigen Händler My Asia Shop – Annatto Samen sowie Asia4Friends – Gewürze.","SPECIALTY","Annatto: Außerhalb des Allgemeinhandels bestehen mehrere belastbare Wege über die voneinander unabhängigen Händler My Asia Shop – Annatto Samen sowie Asia4Friends – Gewürze — Die Händlerbreite gilt »ganz oder gemahlen verwendbar«.","REQUIRED","Annatto | Form: ganz oder gemahlen verwendbar | Deutschland unabhängige Spezialhändler Gewürz | geprüfte Quellen: My Asia Shop – Annatto Samen ; Asia4Friends – Gewürze","EVIDENCE_REQUIRED"
"APPLE","Apfel","APPLICABLE","Apfel als frische Frucht; Sorte und Verhältnis von Süße, Säure und Festigkeit bleiben offen.","GENERAL_LOCAL","Katalogpfad Kernobst → Obst. Warengruppe Obst, formrelevanter Prüfhinweis aus der vollständigen Definition: »Sorte und Verhältnis von Süße, Säure und Festigkeit bleiben offen«. Regelweg in Bornheim über den lokalen Supermarktbereich »Obst- und Gemüseabteilung« in Bornheim.","EASY","Apfel: Der reguläre Bornheimer Handelsweg führt über den lokalen Supermarktbereich »Obst- und Gemüseabteilung« in Bornheim, solange Packung oder Auslage »Sorte und Verhältnis von Süße, Säure und Festigkeit bleiben offen« erfüllt.","OPTIONAL","Apfel | Form: Sorte und Verhältnis von Süße, Säure und Festigkeit bleiben offen | Bornheim Obst- und Gemüseabteilung gewöhnlicher Handel",""
"APPLE_CIDER_VINEGAR","Apfelessig","APPLICABLE","Aus Apfelwein vergorener Essig mit fruchtiger Säure; nicht Apfelsaft oder Cider.","GENERAL_LOCAL","Katalogpfad Essig. Warengruppe Speiseessig, formrelevanter Prüfhinweis aus der vollständigen Definition: »nicht Apfelsaft oder Cider«. Regelweg in Bornheim über den regulären Bornheimer Regalweg »Essig- und Ölregal«.","EASY","In Bornheim sucht Georgia Apfelessig über „Essig- und Ölregal“. Aus Apfelwein vergorener Essig mit fruchtiger Säure; nicht Apfelsaft oder Cider.","OPTIONAL","Apfelessig | Form: nicht Apfelsaft oder Cider | Bornheim Essig- und Ölregal gewöhnlicher Handel",""
"APRICOT","Aprikose","APPLICABLE","Aprikose als frische oder ungesüßt tiefgekühlte Steinfrucht mit süß-säuerlichem, aromatischem Fruchtfleisch.","GENERAL_LOCAL","Katalogpfad Steinobst → Obst. Warengruppe Obst, formrelevanter Prüfhinweis aus der vollständigen Definition: »oder ungesüßt tiefgekühlte Steinfrucht mit süß-säuerlichem, aromatischem Fruchtfleisch«. Regelweg in Bornheim über den regulären Bornheimer Regalweg »Obst- und Gemüseabteilung«.","EASY","In Bornheim sucht Georgia Aprikose über „Obst- und Gemüseabteilung“. Aprikose als frische oder ungesüßt tiefgekühlte Steinfrucht mit süß-säuerlichem, aromatischem Fruchtfleisch.","OPTIONAL","Aprikose | Form: oder ungesüßt tiefgekühlte Steinfrucht mit süß-säuerlichem, aromatischem Fruchtfleisch | Bornheim Obst- und Gemüseabteilung gewöhnlicher Handel",""
"AQUAVIT","Aquavit","APPLICABLE","Mit Kümmel, Dill oder anderen Gewürzen aromatisierte skandinavische Spirituose, die sich auch zum Würzen beim Kochen eignet; nicht auf eine Marke oder ein nationales Rezept beschränkt.","GENERAL_BROAD","Kräuter-Kornspirituose im allgemeinen Deutschlandversand; Conalco führt O.P. Anderson Dill Bio mit Dill und Kümmel lagernd und kurzfristig lieferbar, während ein regulärer Bornheimer Spirituosenbestand nicht vorausgesetzt wird.","PLANNED","Georgia kann den klaren Aquavit in der verlangten Dill-Kümmel-Form gezielt bei Conalco bestellen; wegen des fehlenden verlässlichen Bornheimer Regalwegs bleibt Vorlauf nötig.","REQUIRED","O.P. Anderson Aquavit Dill Kümmel Bio Conalco Lager Deutschlandversand","EVIDENCE_REQUIRED|BORDERLINE_PLANNED"
"ARTICHOKE","Artischocke","APPLICABLE","Essbare Blütenknospe mit fleischigem Boden und herb-nussigem Geschmack; frisch oder schlicht konserviert verwendbar.","GENERAL_BROAD","Rapunzel Onlineshop – Artischockenherzen in Lake 200 g belegt formgenau: Rapunzels eigener Shop führt halbierte oder geviertelte Artischockenherzen in Wasser, Apfelessig und Salz als sofort verfügbare 200-g-Glasware. Für Georgia in Bornheim gilt: Deutschlandweiter Standardversand nach Bornheim und Rostock; 1–3 Werktage; Logistik STANDARD_SHIPPING. Belegt ist die schlicht konservierte Form, nicht die saisonale frische Knospe; nach Öffnung muss das Glas gekühlt werden.","PLANNED","Georgias Beschaffung vom Standort Bornheim aus: Für Artischocke trägt die konservierte Form als ganze Herzen in Lake den geplanten Weg; frische Knospen werden daraus nicht abgeleitet.","OPTIONAL","Artischockenherzen Lake 200 g Rapunzel sofort verfügbar Deutschland | Georgia in Bornheim | IN_STOCK STANDARD_SHIPPING",""
"ARUGULA","Rucola","APPLICABLE","Pfeffrig-scharfer Blattsalat, auch Rauke genannt; roh oder kurz zusammenfallend einsetzbar.","GENERAL_LOCAL","Katalogpfad Blattsalat → Blattgemüse → Gemüse. Warengruppe Gemüse oder Pilz, formrelevanter Prüfhinweis aus der vollständigen Definition: »roh oder kurz zusammenfallend einsetzbar«. Regelweg in Bornheim über ortsübliche Vollsortimenter rund um Bornheim, konkret im Bereich »Obst- und Gemüseabteilung«.","EASY","Rucola: Als Gemüse oder Pilz liegt die Ware im üblichen Bornheimer Einkaufsweg über ortsübliche Vollsortimenter rund um Bornheim, konkret im Bereich »Obst- und Gemüseabteilung« — Gesucht wird »roh oder kurz zusammenfallend einsetzbar«.","OPTIONAL","Rucola | Form: roh oder kurz zusammenfallend einsetzbar | Bornheim Obst- und Gemüseabteilung gewöhnlicher Handel",""
"ASPARAGUS","Spargel","APPLICABLE","Spargel als offene Farb- und Sortenwahl; grüner und weißer Spargel sind bekannte Ausprägungen mit unterschiedlicher Zubereitung.","GENERAL_LOCAL","Katalogpfad Stängelgemüse → Gemüse. Warengruppe Gemüse oder Pilz, formrelevanter Prüfhinweis aus der vollständigen Definition: »grüner und weißer Spargel sind bekannte Ausprägungen mit unterschiedlicher Zubereitung«. Regelweg in Bornheim über den regulären Bornheimer Regalweg »Obst- und Gemüseabteilung«.","EASY","Spargel: In Bornheim genügt der Einkaufsweg über den regulären Bornheimer Regalweg »Obst- und Gemüseabteilung« — Der Hinweis »grüner und weißer Spargel sind bekannte Ausprägungen mit unterschiedlicher Zubereitung« schließt ähnlich benannte Nachbarware aus.","OPTIONAL","Spargel | Form: grüner und weißer Spargel sind bekannte Ausprägungen mit unterschiedlicher Zubereitung | Bornheim Obst- und Gemüseabteilung gewöhnlicher Handel",""
"AVOCADO","Avocado","APPLICABLE","Cremige, fettreiche Frucht mit mild-nussigem Geschmack; gemeint ist das Fruchtfleisch, nicht Avocadoöl.","GENERAL_LOCAL","Katalogpfad Tropenfrucht → Obst. Warengruppe Obst, formrelevanter Prüfhinweis aus der vollständigen Definition: »gemeint ist das Fruchtfleisch, nicht Avocadoöl«. Regelweg in Bornheim über ortsübliche Vollsortimenter rund um Bornheim, konkret im Bereich »Obst- und Gemüseabteilung«.","EASY","Avocado: Als Obst liegt die Ware im üblichen Bornheimer Einkaufsweg über ortsübliche Vollsortimenter rund um Bornheim, konkret im Bereich »Obst- und Gemüseabteilung« — Gesucht wird »gemeint ist das Fruchtfleisch, nicht Avocadoöl«.","OPTIONAL","Avocado | Form: gemeint ist das Fruchtfleisch, nicht Avocadoöl | Bornheim Obst- und Gemüseabteilung gewöhnlicher Handel",""
"BACON","Bacon","APPLICABLE","Gepökelter, meist geräucherter Schweinebauch nach Bacon-Art; Scheibendicke und Räucherung können variieren.","GENERAL_LOCAL","Katalogpfad gepökeltes oder luftgetrocknetes Fleisch → Schweinefleisch → Fleisch. Warengruppe Wurst oder Pökelfleisch, formrelevanter Prüfhinweis aus der vollständigen Definition: »Scheibendicke und Räucherung können variieren«. Regelweg in Bornheim über den Bereich »Wurstkühlung oder Bedientheke« eines gewöhnlichen Bornheimer Vollsortimenters.","EASY","Bacon: Die Bornheimer Grundversorgung erschließt die Ware über den Bereich »Wurstkühlung oder Bedientheke« eines gewöhnlichen Bornheimer Vollsortimenters — kontrolliert wird das Merkmal »Scheibendicke und Räucherung können variieren«.","OPTIONAL","Bacon | Form: Scheibendicke und Räucherung können variieren | Bornheim Wurstkühlung oder Bedientheke gewöhnlicher Handel",""
"BAGOONG","Bagoong","APPLICABLE","Offene philippinische Familie salzig-fermentierter Fisch- oder Garnelenwürzen; die konkrete tierische Basis bleibt wählbar.","NICHE_IMPORT","Katalogpfad fermentierte Würzzutat → fertige Sauce oder Würzpaste → Sauce, Würzmittel oder Paste. Warengruppe Sauce oder Würzpaste, formrelevanter Prüfhinweis aus der vollständigen Definition: »die konkrete tierische Basis bleibt wählbar«. Der v2-Anker hält den Engpass fest: Trotz mehrerer Listings bleibt der Markt überwiegend auf philippinische beziehungsweise eng importierende Händler beschränkt kein breiter allgemeiner Asia-Spezialmarkt.","DIFFICULT","Bagoong: Wenige oder instabile Treffer bestimmen die Route — Trotz mehrerer Listings bleibt der Markt überwiegend auf philippinische beziehungsweise eng importierende Händler beschränkt kein breiter allgemeiner Asia-Spezialmarkt — die Grenze »die konkrete tierische Basis bleibt wählbar« verhindert eine breitere Einstufung.","REQUIRED","Bagoong | Form: die konkrete tierische Basis bleibt wählbar | Deutschland EU Exakttreffer Bestand Logistik Sauce oder Würzpaste | freigegebener v2-Anker","REFERENCE_ANCHOR|EVIDENCE_REQUIRED|FORM_OR_ROUTE_FRAGILE"
"BAGOONG_ALAMANG","Bagoong alamang","APPLICABLE","Philippinische salzig-fermentierte Würzpaste aus kleinen Garnelen oder Krill; kräftig umamireich und nicht mit fischbasiertem Bagoong gleichzusetzen.","NICHE_IMPORT","Katalogpfad Bagoong → Garnelenpaste → fermentierte Würzzutat → fertige Sauce oder Würzpaste. Warengruppe Sauce oder Würzpaste, formrelevanter Prüfhinweis aus der vollständigen Definition: »kräftig umamireich und nicht mit fischbasiertem Bagoong gleichzusetzen«. Der v2-Anker hält den Engpass fest: Mehrere Angebote stammen aus engem philippinischem Importmarkt Varianten und Bestände sind nicht mit breiter Spezialmarktpräsenz gleichzusetzen.","DIFFICULT","Bagoong alamang: Die Suche trägt kein breites Fachsortiment — Mehrere Angebote stammen aus engem philippinischem Importmarkt Varianten und Bestände sind nicht mit breiter Spezialmarktpräsenz gleichzusetzen — Formtreu verlangt der Einkauf »kräftig umamireich und nicht mit fischbasiertem Bagoong gleichzusetzen«.","REQUIRED","Bagoong alamang | Form: kräftig umamireich und nicht mit fischbasiertem Bagoong gleichzusetzen | Deutschland EU Exakttreffer Bestand Logistik Sauce oder Würzpaste | freigegebener v2-Anker","REFERENCE_ANCHOR|EVIDENCE_REQUIRED|FORM_OR_ROUTE_FRAGILE"
"BAGOONG_ISDA","Bagoong isda","APPLICABLE","Philippinische salzig-fermentierte Würzzutat auf Fischbasis; Fischart und flüssige oder pastöse Konsistenz können regional variieren.","NICHE_IMPORT","Katalogpfad Bagoong → fermentierte Würzzutat → fertige Sauce oder Würzpaste → Sauce, Würzmittel oder Paste. Warengruppe Sauce oder Würzpaste, formrelevanter Prüfhinweis aus der vollständigen Definition: »Fischart und flüssige oder pastöse Konsistenz können regional variieren«. Der v2-Anker hält den Engpass fest: Fischbasiertes Bagoong ist enger als die bereits nischige Garnelenform wenige nationale Importwege und hohe Formverwechslungsgefahr.","DIFFICULT","Bagoong isda: In der Warengruppe »Sauce oder Würzpaste« bleibt der Weg händlerarm — Fischbasiertes Bagoong ist enger als die bereits nischige Garnelenform wenige nationale Importwege und hohe Formverwechslungsgefahr — Das Merkmal »Fischart und flüssige oder pastöse Konsistenz können regional variieren« verschärft die Unsicherheit.","REQUIRED","Bagoong isda | Form: Fischart und flüssige oder pastöse Konsistenz können regional variieren | Deutschland EU Exakttreffer Bestand Logistik Sauce oder Würzpaste | freigegebener v2-Anker","REFERENCE_ANCHOR|EVIDENCE_REQUIRED|FORM_OR_ROUTE_FRAGILE"
"BAGUETTE","Baguette","APPLICABLE","Langes französisches Weizenbrot mit kräftiger Kruste und luftiger Krume; nicht beliebiges Weißbrot.","GENERAL_LOCAL","Frisches oder aufgebackenes Baguette liegt im Brot- und Backwarenbereich gewöhnlicher Bornheimer Vollsortimenter, an Backstation oder Bäckereitheke.","EASY","Georgia bekommt die lange helle Brotform in Bornheim direkt an Backstation, Bäckereitheke oder im abgepackten Brotregal; eine Trockenwarenroute ist dafür nicht maßgeblich.","OPTIONAL","Bornheim Vollsortimenter Baguette Backstation Bäckereitheke Brotregal",""
"BAKED_GOODS","Backware","NOT_APPLICABLE_STRUCTURE","","","","","","","",""
